-2078.40, 0.00, 2578.40|0.0, 0.0, 500.0|"Front"
-2071.21, -2071.21, 2571.21|0.0, 0.0, 500.0|"Front 3/4"
-0.00, -2078.40, 2578.40|0.0, 0.0, 500.0|"Left"
2071.21, -2071.21, 2571.21|0.0, 0.0, 500.0|"Left-Rear 3/4"
2078.40, 0.00, 2578.40|0.0, 0.0, 500.0|"Rear"
2071.21, 2071.21, 2571.21|0.0, 0.0, 500.0|"Rear-Right 3/4"
-0.00, 2078.40, 2578.40|0.0, 0.0, 500.0|"Right"
-2071.21, 2071.21, 2571.21|0.0, 0.0, 500.0|"Right-Front 3/4"
